trade,id,kind,category,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours,image_note
Electrical,el.tool.hole_saw.70,TOOL,power-tools,Hole saw 70 mm,מקדח כוס 70 מ״מ,منشار كؤوس 70 ملم,,,
Electrical,el.safety.gloves.1000v,SAFETY,ppe,Insulating gloves 1000 V,כפפות מבודדות 1000 וולט,قفازات عازلة 1000 فولت,,,
Electrical,el.safety.lockout_kit,SAFETY,ppe,Lockout / tagout kit,ערכת נעילה ותיוג,طقم إقفال ووسم,,,
Electrical,el.tool.breaker.sds_max,TOOL,power-tools,"Demolition hammer, SDS-max (kongo)",פטישון SDS-max,كونجو (شاكوش هدم) SDS-max,,,
Electrical,el.tool.rotary.sds_plus,TOOL,power-tools,"Rotary hammer drill, SDS-plus",מקדחת רוטרי SDS-plus,دريل باتشون (مطرقة دوّارة) SDS-plus,,,
Electrical,el.tool.wall.chaser,TOOL,power-tools,Wall chaser,מחרץ קירות,قطاعة تفنيص الجدران,,,
Electrical,el.tool.socket.tester,TOOL,measuring,Socket tester,בודק שקעים,فاحص أباريز,,,
Electrical,el.tool.socket.tester.rcd,TOOL,measuring,Socket tester with RCD trip test,בודק שקעים עם בדיקת ממסר פחת,فاحص أباريز مع فحص قاطع التسريب,,,
Electrical,el.tool.cable.tracer,TOOL,measuring,Cable tracer (tone generator and probe),גשש כבלים (מחולל צליל וגלאי),مزمار (مولّد نغمة ومجس),,,
Electrical,el.tool.clamp.meter,TOOL,measuring,Clamp meter,אמפרמטר מלקחיים,كلامب ميتر (أمبير),,,
Electrical,el.tool.voltage.pen,TOOL,measuring,Non-contact voltage pen,עט מתח ללא מגע,قلم كشف الفولت (بدون تلامس),,,
Electrical,el.tool.insulation.tester,TOOL,measuring,Insulation resistance tester (megger),בודק התנגדות בידוד (מגר),مقياس عزل (ميجر),,,
Electrical,el.tool.earth.tester,TOOL,measuring,Earth loop / earth resistance tester,בודק לולאת תקלה והתנגדות הארקה,فاحص مقاومة التأريض,,,
Electrical,el.tool.fish.tape,TOOL,hand-tools,Fish tape / draw wire,חוט משיכה,سلك سحب (شريط تمرير),,,
Electrical,el.tool.conduit.bender,TOOL,hand-tools,Conduit bending spring,קפיץ כיפוף לצינור,نابض ثني المواسير,,,
Electrical,el.tool.hole.saw,TOOL,power-tools,Box hole saw set (68 mm),מקדח כוס לקופסאות 68 מ״מ,منشار علب 68 ملم,,,
Electrical,el.tool.crimper.ferrule,TOOL,hand-tools,Ferrule crimping tool,מלחץ שרוולים,كماشة كبس أطراف (فيرول),,,
Electrical,el.tool.pliers.side,TOOL,hand-tools,Side cutters,חותכן צד,قاطعة جانبية (زرديّة قص),,,
Electrical,el.tool.screwdriver.insulated,TOOL,hand-tools,Insulated screwdriver set 1000 V,ערכת מברגים מבודדים 1000V,طقم مفكات معزولة 1000 فولت,,,
Electrical,el.tool.lockout.kit,TOOL,ppe,Lock-out / tag-out kit,ערכת נעילה ותיוג,طقم إقفال ووسم (LOTO),,,
Electrical,el.tool.laser.level,TOOL,measuring,Cross-line laser level,פלס לייזר צולב,ليزر تسوية متقاطع,,,
Electrical,el.tool.thermal.camera,TOOL,measuring,Thermal imaging camera,מצלמה תרמית,كاميرا حرارية,,,
Electrical,el.tool.phase.rotation,TOOL,measuring,Phase rotation meter,בודק סדר פאזות,فاحص ترتيب الأطوار,,,
Electrical,el.box.wall.68,MATERIAL,accessories,"Wall box, 68 mm round",קופסת קיר עגולה 68 מ״מ,علبة حائط دائرية 68 ملم,,,
Electrical,el.box.wall.gang3,MATERIAL,accessories,"Wall box, 3-gang",קופסת קיר משולשת,علبة حائط ثلاثية,,,
Electrical,el.box.junction.ip55,MATERIAL,accessories,"Junction box IP55, surface",קופסת הסתעפות IP55 חיצונית,علبة تفريعات IP55 ظاهرة,,,
Electrical,el.box.slab.deep,MATERIAL,accessories,"Slab box, deep (pre-pour)","קופסה ליציקה, עמוקה",علبة صبّة عميقة (قبل الصب),,,
Electrical,el.conduit.pvc.16,MATERIAL,conduit,Flexible PVC conduit 16 mm,שרשורי PVC ‏16 מ״מ,ماسورة مرنة PVC ‏16 ملم,,,
Electrical,el.conduit.pvc.20,MATERIAL,conduit,Flexible PVC conduit 20 mm,שרשורי PVC ‏20 מ״מ,ماسورة مرنة PVC ‏20 ملم,,,
Electrical,el.conduit.pvc.25,MATERIAL,conduit,Flexible PVC conduit 25 mm,שרשורי PVC ‏25 מ״מ,ماسورة مرنة PVC ‏25 ملم,,,
Electrical,el.conduit.hdpe.slab,MATERIAL,conduit,HDPE slab conduit,שרשורי HDPE ליציקה,ماسورة HDPE للصبّة,,,
Electrical,el.trunking.pvc.60,MATERIAL,conduit,PVC trunking 60×40,תעלת PVC ‏60×40,مجرى PVC ‏60×40,,,
Electrical,el.tray.cable.200,MATERIAL,conduit,"Cable tray 200 mm, hot-dip galvanised",תעלת כבלים 200 מ״מ מגולוונת,ترايّ كابلات 200 ملم مجلفن,,,
Electrical,el.socket.schuko.single,MATERIAL,fixtures,"Socket outlet, single (Israeli/Schuko)",שקע יחיד,بريزة مفردة (إسرائيلي/شوكو),,,
Electrical,el.socket.schuko.double,MATERIAL,fixtures,"Socket outlet, double",שקע כפול,بريزة مزدوجة,,,
Electrical,el.socket.usb,MATERIAL,fixtures,Socket with USB-A/C charger,שקע עם מטען USB,بريزة مع شاحن USB,,,
Electrical,el.socket.floor.box,MATERIAL,fixtures,Floor socket box,קופסת רצפה לשקעים,علبة أرضية للأباريز,,,
Electrical,el.switch.dimmer,MATERIAL,fixtures,Dimmer switch,דימר,مفتاح ديمر,,,
Electrical,el.plate.blank,MATERIAL,fixtures,Blank plate,מכסה עיוור,غطاء أعمى,,,
Electrical,el.light.downlight.led,MATERIAL,fixtures,"LED downlight, recessed",גוף תאורה שקוע LED,سبوت LED غاطس,,,
Electrical,el.light.panel.60x60,MATERIAL,fixtures,LED panel 60×60,פאנל LED ‏60×60,بانل LED ‏60×60,,,
Electrical,el.light.emergency,MATERIAL,fixtures,"Emergency light, 90 min",גוף תאורת חירום 90 דק׳,إنارة طوارئ 90 دقيقة,,,
Electrical,el.light.exit.sign,MATERIAL,fixtures,Illuminated exit sign,שלט יציאה מואר,لافتة مخرج مضاءة,,,
Electrical,el.db.consumer.12way,MATERIAL,distribution-boards,"Distribution board, 12-way",לוח חלוקה 12 מקומות,لوحة توزيع 12 خط,,,
Electrical,el.db.consumer.36way,MATERIAL,distribution-boards,"Distribution board, 36-way",לוח חלוקה 36 מקומות,لوحة توزيع 36 خط,,,
Electrical,el.mcb.c16,MATERIAL,protection,"MCB, C16",מא״ז C16,قاطع C16,,,
Electrical,el.rcbo.c16,MATERIAL,protection,"RCBO, C16 / 30 mA",מא״ז מגן C16 ‏30mA,قاطع مدمج مع تسريب C16 ‏30 مللي أمبير,,,
Electrical,el.surge.spd.t2,MATERIAL,protection,"Surge protective device, type 2",מגן ברקים סוג 2,جهاز حماية من الصواعق نوع 2,,,
Electrical,el.earth.rod,MATERIAL,earthing,"Earth rod, copper-bonded",אלקטרודת הארקה מצופה נחושת,قضيب تأريض مطلي نحاس,,,
Electrical,el.earth.busbar,MATERIAL,earthing,Main earthing busbar,פס השוואת פוטנציאלים,بار تأريض رئيسي,,,
Plumbing,pl.pipe.pex.16,MATERIAL,pipes,PEX pipe 16 mm,צינור פקסגול 16 מ״מ,أنبوب بيكس 16 ملم,,,
Plumbing,pl.pipe.pex.20,MATERIAL,pipes,PEX pipe 20 mm,צינור פקסגול 20 מ״מ,أنبوب بيكس 20 ملم,,,
Plumbing,pl.pipe.copper.15,MATERIAL,pipes,Copper pipe 15 mm,צינור נחושת 15 מ״מ,أنبوب نحاس 15 ملم,,,
Plumbing,pl.pipe.copper.22,MATERIAL,pipes,Copper pipe 22 mm,צינור נחושת 22 מ״מ,أنبوب نحاس 22 ملم,,,
Plumbing,pl.pipe.pvc.50,MATERIAL,drainage,PVC waste pipe 50 mm,צינור דלוחין PVC ‏50 מ״מ,أنبوب صرف PVC ‏50 ملم,,,
Plumbing,pl.pipe.pvc.110,MATERIAL,drainage,PVC soil pipe 110 mm,צינור ביוב PVC ‏110 מ״מ,أنبوب مجاري PVC ‏110 ملم,,,
Plumbing,pl.fit.elbow.90.pvc.50,MATERIAL,fittings,PVC elbow 90° 50 mm,זווית PVC ‏90° ‏50 מ״מ,كوع PVC ‏90° ‏50 ملم,,,
Plumbing,pl.fit.tee.pvc.110,MATERIAL,fittings,PVC tee 110 mm,טי PVC ‏110 מ״מ,وصلة T من PVC ‏110 ملم,,,
Plumbing,pl.fit.coupling.pex.16,MATERIAL,fittings,PEX coupling 16 mm,מופה לפקסגול 16 מ״מ,وصلة بيكس 16 ملم,,,
Plumbing,pl.fit.manifold.4way,MATERIAL,fittings,"Water manifold, 4 outlets",מחלק מים 4 יציאות,موزّع مياه 4 مخارج,,,
Plumbing,pl.valve.ball.1_2,MATERIAL,valves,"Ball valve 1/2""",ברז כדורי ״1/2,محبس كروي 1/2 إنش,,,
Plumbing,pl.valve.check.3_4,MATERIAL,valves,"Check valve 3/4""",שסתום אל־חוזר ״3/4,صمام لا رجعي 3/4 إنش,,,
Plumbing,pl.valve.prv,MATERIAL,valves,Pressure reducing valve,מפחית לחץ,منظّم ضغط,,,
Plumbing,pl.fixture.toilet,MATERIAL,fixtures,WC pan and cistern,אסלה ומיכל הדחה,مرحاض وخزّان طرد,,,
Plumbing,pl.fixture.basin,MATERIAL,fixtures,Wash basin,כיור רחצה,مغسلة,,,
Plumbing,pl.fixture.faucet.kitchen,MATERIAL,fixtures,Kitchen mixer tap,ברז מטבח,خلاط مطبخ,,,
Plumbing,pl.fixture.trap.bottle,MATERIAL,fixtures,Bottle trap,סיפון בקבוק,سيفون زجاجي,,,
Plumbing,pl.heater.electric.150,MATERIAL,hot-water,Electric water heater 150 L,דוד חשמל 150 ליטר,سخان مياه كهربائي 150 لتر,,,
Plumbing,pl.heater.solar.collector,MATERIAL,hot-water,Solar collector panel,קולט שמש,مجمّع شمسي,,,
Plumbing,pl.meter.water,MATERIAL,metering,Water meter,מד מים,عدّاد مياه,,,
Plumbing,pl.consum.teflon,CONSUMABLE,consumables,PTFE thread tape,סרט טפלון,شريط تفلون,,,
Plumbing,pl.consum.pvc_glue,CONSUMABLE,consumables,PVC solvent cement,דבק PVC,غراء PVC,,,
Plumbing,pl.consum.pipe_clip,CONSUMABLE,consumables,Pipe clip,חבק לצינור,مشبك أنبوب,,,
Plumbing,pl.tool.pipe_wrench,TOOL,hand-tools,Pipe wrench,מפתח צינורות,مفتاح مواسير,,,
Plumbing,pl.tool.pipe_cutter,TOOL,hand-tools,Pipe cutter,חותך צינורות,قاطع أنابيب,,,
Plumbing,pl.tool.ppr_welder,TOOL,power-tools,PPR socket welder,מכונת ריתוך פוליפרופילן,آلة لحام بولي بروبيلين,,,
Plumbing,pl.tool.torch,TOOL,power-tools,Brazing torch,מבער להלחמה,شعلة لحام,,,
Plumbing,pl.tool.drain_snake,TOOL,hand-tools,Drain auger,ספירלה לפתיחת סתימות,زنبرك تسليك المجاري,,,
Plumbing,pl.tool.pressure_gauge,TOOL,measuring,Pressure test pump and gauge,משאבת אטימות ומד לחץ,مضخة اختبار ضغط ومقياس,,,
Plumbing,pl.tool.leak_detector,TOOL,measuring,Acoustic leak detector,גלאי נזילות אקוסטי,كاشف تسرّب صوتي,,,
Plumbing,pl.safety.gas_detector,SAFETY,ppe,Confined space gas detector,גלאי גזים לחלל מוקף,كاشف غازات للأماكن المغلقة,,,
Plumbing,pl.safety.gloves.nitrile,SAFETY,ppe,Chemical resistant gloves,כפפות עמידות לכימיקלים,قفازات مقاومة للمواد الكيميائية,,,
Plumbing,pl.pipe.ppr.25,MATERIAL,pipes,PPR pipe 25 mm,צינור PPR ‏25 מ״מ,ماسورة PPR ‏25 ملم,,,
Plumbing,pl.pipe.hdpe.drain,MATERIAL,drainage,HDPE drainage pipe,צינור ניקוז HDPE,ماسورة صرف HDPE,,,
Plumbing,pl.manifold.underfloor,MATERIAL,fittings,"Manifold, underfloor / PEX",מפלג PEX,مجمّع PEX,,,
Plumbing,pl.trap.floor.drain,MATERIAL,drainage,Floor drain / gully,מחסום רצפה,سيفون أرضية,,,
Plumbing,pl.tank.roof.polyethylene,MATERIAL,fixtures,Roof water tank,מיכל מים לגג,خزان ماء للسطح,,,
Plumbing,pl.pump.booster,MATERIAL,units,Booster pump set,מערכת משאבות הגברה,مجموعة مضخات ضغط,,,
Plumbing,pl.heater.solar,MATERIAL,hot-water,Solar water heater (dud shemesh),דוד שמש,سخّان شمسي (دود شيمش),,,
Plumbing,pl.backflow.preventer,MATERIAL,valves,Backflow preventer,מונע זרימה חוזרת,مانع تدفّق عكسي,,,
Plumbing,pl.mixer.basin,MATERIAL,fixtures,Basin mixer tap,ברז מיקסר לכיור,خلاط مغسلة,,,
Plumbing,pl.shower.tray,MATERIAL,fixtures,Shower tray,אגן מקלחת,قاعدة دش,,,
Plumbing,pl.tool.press.jaw,TOOL,power-tools,Press-fit tool with jaws,מכבש לחיבורי לחיצה,ماكينة كبس وصلات,,,
Plumbing,pl.tool.welder.ppr,TOOL,power-tools,PPR socket fusion welder,מלחם PPR,ماكينة لحام PPR,,,
Plumbing,pl.tool.drain.camera,TOOL,measuring,Drain inspection camera,מצלמת ביוב,كاميرا فحص الصرف,,,
Plumbing,pl.tool.pressure.gauge,TOOL,measuring,Pressure test gauge and pump,מד לחץ ומשאבת בדיקה,ساعة ضغط ومضخة فحص,,,
HVAC & Refrigeration,hv.unit.split.1_5hp,MATERIAL,units,Split air conditioner 1.5 HP,מזגן עילי 1.5 כ״ס,مكيّف سبليت 1.5 حصان,,,
HVAC & Refrigeration,hv.unit.minicentral,MATERIAL,units,Mini-central air handler,מזגן מיני מרכזי,مكيّف مركزي صغير,,,
HVAC & Refrigeration,hv.unit.condenser,MATERIAL,units,Outdoor condensing unit,מעבה (יחידה חיצונית),وحدة تكثيف خارجية,,,
HVAC & Refrigeration,hv.pipe.cu.1_4,MATERIAL,refrigerant-lines,"Refrigerant copper pipe 1/4""",צינור נחושת לגז ״1/4,أنبوب نحاس للتبريد 1/4 إنش,,,
HVAC & Refrigeration,hv.pipe.cu.1_2,MATERIAL,refrigerant-lines,"Refrigerant copper pipe 1/2""",צינור נחושת לגז ״1/2,أنبوب نحاس للتبريد 1/2 إنش,,,
HVAC & Refrigeration,hv.insulation.elastomeric,MATERIAL,insulation,Elastomeric pipe insulation,בידוד גמיש לצנרת,عازل مطاطي للأنابيب,,,
HVAC & Refrigeration,hv.refrigerant.r32,MATERIAL,refrigerant,Refrigerant R32,גז קירור R32,غاز تبريد R32,,,
HVAC & Refrigeration,hv.refrigerant.r410a,MATERIAL,refrigerant,Refrigerant R410A,גז קירור R410A,غاز تبريد R410A,,,
HVAC & Refrigeration,hv.drain.pipe.25,MATERIAL,condensate,Condensate drain pipe 25 mm,צינור ניקוז מזגן 25 מ״מ,أنبوب تصريف مكيّف 25 ملم,,,
HVAC & Refrigeration,hv.drain.pump,MATERIAL,condensate,Condensate pump,משאבת ניקוז,مضخة تصريف,,,
HVAC & Refrigeration,hv.thermostat.programmable,MATERIAL,controls,Programmable thermostat,תרמוסטט מתוכנת,ثرموستات قابل للبرمجة,,,
HVAC & Refrigeration,hv.duct.flexible.8,MATERIAL,ducting,"Insulated flexible duct 8""",תעלה גמישה מבודדת ״8,مجرى هواء مرن معزول 8 إنش,,,
HVAC & Refrigeration,hv.diffuser.linear,MATERIAL,ducting,Linear supply diffuser,מפזר אוויר קווי,فتحة توزيع هواء خطية,,,
HVAC & Refrigeration,hv.grille.return,MATERIAL,ducting,Return air grille with filter,גריל חוזר עם מסנן,شبك هواء راجع مع فلتر,,,
HVAC & Refrigeration,hv.filter.g4,CONSUMABLE,consumables,Air filter G4,מסנן אוויר G4,فلتر هواء G4,,,
HVAC & Refrigeration,hv.consum.flare_nuts,CONSUMABLE,consumables,Flare nuts and caps,אומי פלייר ופקקים,صواميل تفليج وسدادات,,,
HVAC & Refrigeration,hv.tool.vacuum_pump,TOOL,service,Vacuum pump,משאבת ואקום,مضخة تفريغ,,,
HVAC & Refrigeration,hv.tool.manifold_gauges,TOOL,service,Manifold gauge set,סט מדי לחץ (מנומטרים),طقم مقاييس ضغط (مانيفولد),,,
HVAC & Refrigeration,hv.tool.recovery_machine,TOOL,service,Refrigerant recovery machine,מכונת שאיבת גז,آلة استرجاع غاز التبريد,,,
HVAC & Refrigeration,hv.tool.flaring,TOOL,hand-tools,Flaring tool set,ערכת פלייר,طقم تفليج,,,
HVAC & Refrigeration,hv.tool.tube_bender,TOOL,hand-tools,Tube bender,מכופף צנרת,ثنّاية أنابيب,,,
HVAC & Refrigeration,hv.tool.clamp_meter,TOOL,measuring,Clamp meter,מלקחי אמפר,كماشة أمبير,,,
HVAC & Refrigeration,hv.tool.leak_detector,TOOL,measuring,Electronic leak detector,גלאי דליפות גז אלקטרוני,كاشف تسرّب غاز إلكتروني,,,
HVAC & Refrigeration,hv.tool.digital_scale,TOOL,measuring,Refrigerant charging scale,משקל דיגיטלי לגז,ميزان شحن الغاز,,,
HVAC & Refrigeration,hv.tool.anemometer,TOOL,measuring,Anemometer,מד ספיקת אוויר,مقياس تدفق الهواء,,,
HVAC & Refrigeration,hv.safety.gloves.cryo,SAFETY,ppe,Refrigerant handling gloves,כפפות לטיפול בגז קירור,قفازات للتعامل مع غاز التبريد,,,
HVAC & Refrigeration,hv.safety.goggles,SAFETY,ppe,Sealed safety goggles,משקפי מגן אטומים,نظارات واقية محكمة,,,
HVAC & Refrigeration,hv.safety.ladder.fiber,SAFETY,access,Fibreglass step ladder,סולם פיברגלס,سلّم فايبرجلاس,,,
HVAC & Refrigeration,hv.sleeve.wall,MATERIAL,accessories,Wall sleeve (jerab),שרוול קיר,جراب (سليفة) حيط,,,
HVAC & Refrigeration,hv.duct.galvanised,MATERIAL,ducting,Galvanised sheet duct,תעלת פח מגולוון,دكت صاج مجلفن,,,
HVAC & Refrigeration,hv.duct.preinsulated,MATERIAL,ducting,Pre-insulated panel duct,תעלה מבודדת מראש,دكت بانل معزول,,,
HVAC & Refrigeration,hv.duct.flexible,MATERIAL,ducting,Flexible insulated duct,תעלה גמישה מבודדת,دكت مرن معزول,,,
HVAC & Refrigeration,hv.damper.fire,MATERIAL,ducting,Fire damper,מדף אש,دامبر حريق,,,
HVAC & Refrigeration,hv.damper.volume,MATERIAL,ducting,Volume control damper,מדף ויסות,دامبر تنظيم,,,
HVAC & Refrigeration,hv.grille.supply,MATERIAL,ducting,Supply grille,גריל אספקה,جريل تغذية,,,
HVAC & Refrigeration,hv.diffuser.swirl,MATERIAL,ducting,Swirl diffuser,מפזר סחרור,مبثّ دوّار,,,
HVAC & Refrigeration,hv.unit.vrf.indoor,MATERIAL,units,VRF indoor unit,יחידה פנימית VRF,وحدة داخلية VRF,,,
HVAC & Refrigeration,hv.unit.vrf.outdoor,MATERIAL,units,VRF outdoor unit,יחידה חיצונית VRF,وحدة خارجية VRF,,,
HVAC & Refrigeration,hv.unit.fcu.ceiling,MATERIAL,units,Ceiling fan coil unit,יחידת מאוורר־סליל תקרתית,وحدة فان كويل سقفية,,,
HVAC & Refrigeration,hv.unit.fresh.air,MATERIAL,units,Fresh air / heat recovery unit,יחידת אוויר צח עם השבת חום,وحدة هواء نقي مع استرجاع حراري,,,
HVAC & Refrigeration,hv.tool.micron.gauge,TOOL,measuring,Micron gauge,מד מיקרון,مقياس ميكرون,,,
HVAC & Refrigeration,hv.tool.manifold.gauge,TOOL,service,Refrigerant manifold gauges,סט מדי לחץ לגז קירור,مانيفولد قياس غاز التبريد,,,
Painting,pa.paint.acrylic.interior,MATERIAL,paint,Interior acrylic paint,צבע אקרילי לפנים,دهان أكريليك داخلي,,,
Painting,pa.paint.acrylic.exterior,MATERIAL,paint,Exterior acrylic paint,צבע אקרילי לחוץ,دهان أكريليك خارجي,,,
Painting,pa.paint.synthetic,MATERIAL,paint,Synthetic (oil) enamel,צבע סינטטי (שמן),دهان زيتي (إينامل),,,
Painting,pa.paint.antimould,MATERIAL,paint,Anti-mould paint,צבע נגד עובש,دهان مضاد للعفن,,,
Painting,pa.primer.wall,MATERIAL,primer,Wall primer,יסוד לקירות,برايمر للجدران,,,
Painting,pa.primer.antirust,MATERIAL,primer,Anti-rust primer,יסוד נגד חלודה,أساس مضاد للصدأ,,,
Painting,pa.filler.wall,MATERIAL,preparation,Wall filler,מרק שפכטל,معجون جدران,,,
Painting,pa.filler.plaster_skim,MATERIAL,preparation,Skim coat plaster,שליכט טיח דק,قصارة تنعيم,,,
Painting,pa.thinner,MATERIAL,consumables,Paint thinner,מדלל,مخفّف (تنر),,,
Painting,pa.tape.masking,CONSUMABLE,consumables,Masking tape,סרט מיסוך,شريط تغطية,,,
Painting,pa.sheet.protection,CONSUMABLE,consumables,Protective drop sheet,יריעת הגנה,نايلون حماية,,,
Painting,pa.sandpaper.120,CONSUMABLE,consumables,Sandpaper P120,נייר לטש P120,ورق صنفرة P120,,,
Painting,pa.sandpaper.220,CONSUMABLE,consumables,Sandpaper P220,נייר לטש P220,ورق صنفرة P220,,,
Painting,pa.tool.roller.25,TOOL,hand-tools,Paint roller 25 cm,רולר צבע 25 ס״מ,رول دهان 25 سم,,,
Painting,pa.tool.roller.10,TOOL,hand-tools,Small roller 10 cm,רולר קטן 10 ס״מ,رول صغير 10 سم,,,
Painting,pa.tool.brush.set,TOOL,hand-tools,Brush set,סט מברשות,طقم فرش,,,
Painting,pa.tool.tray,TOOL,hand-tools,Paint tray with grid,מגש צבע עם רשת,صينية دهان مع شبك,,,
Painting,pa.tool.spatula,TOOL,hand-tools,Filling knife set,סט שפכטלים,طقم سكاكين معجون,,,
Painting,pa.tool.extension_pole,TOOL,hand-tools,Telescopic extension pole,מוט הארכה טלסקופי,عصا تمديد تلسكوبية,,,
Painting,pa.tool.airless_sprayer,TOOL,power-tools,Airless paint sprayer,מרסס צבע אירלס,رشّاش دهان بدون هواء,,,
Painting,pa.tool.sander.orbital,TOOL,power-tools,Orbital sander with extraction,מלטשת אקסצנטרית עם שאיבה,جلاخة مدارية مع شفط,,,
Painting,pa.tool.wet_edge_light,TOOL,hand-tools,Inspection work light,פנס עבודה לבדיקת גמר,كشّاف عمل لفحص التشطيب,,,
Painting,pa.safety.respirator.a2p3,SAFETY,ppe,Respirator A2-P3,מסכת נשימה A2-P3,كمّامة تنفس A2-P3,,,
Painting,pa.safety.dust_mask.ffp2,SAFETY,ppe,Dust mask FFP2,מסכת אבק FFP2,كمّامة غبار FFP2,,,
Painting,pa.safety.goggles,SAFETY,ppe,Safety goggles,משקפי מגן,نظارات واقية,,,
Painting,pa.safety.ladder.platform,SAFETY,access,Platform step ladder,סולם עם משטח עמידה,سلّم بمنصّة وقوف,,,
Carpentry,ca.board.mdf.16,MATERIAL,boards,MDF board 16 mm,לוח MDF ‏16 מ״מ,لوح MDF ‏16 ملم,,,
Carpentry,ca.board.melamine.18,MATERIAL,boards,Melamine faced board 18 mm,לוח סנדוויץ׳ מלמין 18 מ״מ,لوح ميلامين 18 ملم,,,
Carpentry,ca.board.plywood.12,MATERIAL,boards,Plywood 12 mm,דיקט 12 מ״מ,خشب أبلكاش 12 ملم,,,
