key,where_it_appears,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours
inv_spec,,Specification,מפרט,المواصفة,,
inv_quantity,,Quantity in stock,כמות במלאי,الكمية في المخزون,,
inv_min_stock,,Low stock threshold,סף מלאי נמוך,حدّ المخزون المنخفض,,
inv_unit,,Unit,יחידת מידה,وحدة القياس,,
inv_price,,Purchase price,מחיר קנייה,سعر الشراء,,
inv_barcode,,Barcode / QR,ברקוד / QR,باركود / QR,,
inv_tags,,Tags,תגיות,الوسوم,,
inv_low_stock,,Low,נמוך,منخفض,,
inv_filter_all,,All,הכול,الكل,,
inv_filter_low,,Low stock,מלאי נמוך,مخزون منخفض,,
inv_stock_add,,Add stock,הוספת מלאי,إضافة مخزون,,
inv_stock_remove,,Use stock,הוצאת מלאי,صرف مخزون,,
inv_history,,Stock history,היסטוריית מלאי,سجل المخزون,,
inv_scan,,Scan a label,סריקת תווית,مسح ملصق,,
inv_from_catalog,,From catalogue,מהקטלוג,من الكتالوج,,
inv_custom,,Custom item,פריט מותאם,صنف مخصّص,,
inv_empty,,No items yet,אין עדיין פריטים,لا توجد أصناف بعد,,
kind_tool,,Tool,כלי עבודה,أداة,,
kind_material,,Material,חומר,مادة,,
kind_safety,,Safety equipment,ציוד בטיחות,معدات سلامة,,
kind_fitting,,Fitting,אביזר,قطعة تركيب,,
kind_consumable,,Consumable,מתכלה,مستهلك,,
kind_other,,Other,אחר,أخرى,,
unit_pcs,,pcs,יח׳,قطعة,,
unit_m,,m,מ׳,م,,
unit_m2,,m²,מ״ר,م²,,
unit_m3,,m³,מ״ק,م³,,
unit_kg,,kg,ק״ג,كغ,,
unit_l,,L,ליטר,لتر,,
unit_roll,,roll,גליל,لفة,,
unit_bag,,bag,שק,كيس,,
unit_pair,,pair,זוג,زوج,,
unit_box,,box,קופסה,علبة,,
proj_title,,Projects,פרויקטים,المشاريع,,
proj_new,,New project,פרויקט חדש,مشروع جديد,,
proj_name,,Project name,שם הפרויקט,اسم المشروع,,
proj_address,,Address,כתובת,العنوان,,
proj_client,,Client,לקוח,الزبون,,
proj_status,,Status,סטטוס,الحالة,,
proj_start,,Start date,תאריך התחלה,تاريخ البدء,,
proj_due,,Due date,תאריך יעד,تاريخ الاستحقاق,,
proj_materials,,Materials and tools,חומרים וכלים,المواد والأدوات,,
proj_tasks,,Tasks,משימות,المهام,,
proj_progress,,Progress,התקדמות,التقدّم,,
proj_from_template,,Start from a template,התחלה מתבנית,البدء من قالب,,
proj_status_planned,,Planned,מתוכנן,مخطّط,,
proj_status_active,,In progress,בביצוע,قيد التنفيذ,,
proj_status_hold,,On hold,מושהה,متوقف,,
proj_status_done,,Completed,הושלם,مكتمل,,
proj_empty,,No projects yet,אין עדיין פרויקטים,لا توجد مشاريع بعد,,
proj_add_material,,Add material,הוספת חומר,إضافة مادة,,
proj_required_qty,,Required,נדרש,مطلوب,,
proj_add_task,,Add task,הוספת משימה,إضافة مهمة,,
proj_task_title,,What has to be done,מה צריך לעשות,ما الذي يجب عمله,,
proj_tasks_empty,,No tasks yet.,אין עדיין משימות.,لا توجد مهام بعد.,,
proj_materials_empty,,Nothing listed yet. Add what this job needs.,עדיין לא נרשם כלום. הוסיפו את מה שהעבודה דורשת.,لم يُسجَّل شيء بعد. أضف ما يحتاجه هذا العمل.,,
proj_material_name,,Material or tool,חומר או כלי,مادة أو أداة,,
proj_material_search,,Search the catalogue,חיפוש בקטלוג,ابحث في الكتالوج,,
proj_quantity,,Quantity,כמות,الكمية,,
proj_unit,,Unit,יחידה,الوحدة,,
photo_section,Project section holding the site plan and progress photos,Plans and photos,תוכניות ותמונות,مخططات وصور,,
photo_add,,Add a plan or photo,הוספת תוכנית או תמונה,إضافة مخطط أو صورة,,
photo_take,,Take a photo,צילום תמונה,التقاط صورة,,
photo_choose,"Pick an existing image — a floor plan sent by the architect, for instance",Choose an image,בחירת תמונה,اختيار صورة,,
photo_set_plan,,Set as the site plan,הגדרה כתוכנית האתר,تعيين كمخطط الموقع,,
photo_plan_badge,,Site plan,תוכנית אתר,مخطط الموقع,,
photo_empty,,No plan or photos yet,אין עדיין תוכנית או תמונות,لا يوجد مخطط أو صور بعد,,
photo_empty_hint,,"Photograph the drawing on the wall, or pick a plan someone sent you.","אפשר לצלם את התוכנית שתלויה בקיר, או לבחור תוכנית שנשלחה אליך.",صوّر المخطط المعلّق على الجدار، أو اختر مخططًا أرسله لك أحدهم.,,
photo_failed,,That image could not be saved,לא ניתן היה לשמור את התמונה,تعذّر حفظ الصورة,,
item_photo,"Photograph of the user's own stock, replacing the category icon",Photo of this item,תמונה של הפריט,صورة الصنف,,
trade_add,Create a trade the app does not ship a catalogue for,Add a trade,הוספת תחום עבודה,إضافة مهنة,,
trade_add_hint,,"For work the app does not cover yet — roofing, landscaping, glazing. It starts empty and you add your own items to it.","לעבודה שהאפליקציה עדיין לא מכסה — גגות, גינון, זגגות. התחום מתחיל ריק ומוסיפים אליו פריטים משלך.",لعمل لا يغطيه التطبيق بعد — أسطح، تنسيق حدائق، زجاج. تبدأ فارغة وتضيف إليها أصنافك.,,
trade_name,,Trade name,שם התחום,اسم المهنة,,
trade_custom,Badge marking a trade the user created,Yours,שלך,خاصتك,,
proj_blank,,Empty project,פרויקט ריק,مشروع فارغ,,
proj_kind,"What sort of place the job is — house, floor, room",Type of place,סוג המקום,نوع المكان,,
proj_kind_other,,Something else,משהו אחר,شيء آخر,,
proj_create,,Create,יצירה,إنشاء,,
proj_start_from,,Start from,להתחיל מ־,ابدأ من,,
proj_blank_hint,,No task list and no materials — a job you fill in yourself.,בלי רשימת משימות ובלי חומרים — עבודה שאתה ממלא בעצמך.,بدون قائمة مهام وبدون مواد — عمل تملؤه بنفسك.,,
proj_view_grid,,Show as cards,תצוגת כרטיסים,عرض كبطاقات,,
proj_view_list,,Show as list,תצוגת רשימה,عرض كقائمة,,
proj_kind_other_hint,,What is this place called?,איך קוראים למקום הזה?,ما اسم هذا المكان؟,,
update_title,,App updates,עדכוני אפליקציה,تحديثات التطبيق,,
update_installed,,Installed version,הגרסה המותקנת,النسخة المثبّتة,,
update_check,,Check for updates,בדיקת עדכונים,التحقق من التحديثات,,
update_checking,,Checking…,בודק…,جارٍ التحقق…,,
update_current,,You are on the latest version,מותקנת הגרסה העדכנית ביותר,لديك أحدث نسخة,,
update_available,,A new version is available,קיימת גרסה חדשה,تتوفر نسخة جديدة,,
update_download,,Download and install,הורדה והתקנה,تنزيل وتثبيت,,
update_downloading,,Downloading…,מוריד…,جارٍ التنزيل…,,
update_install,,Install,התקנה,تثبيت,,
update_failed,,Could not check for updates. Try again when you have a signal.,לא ניתן היה לבדוק עדכונים. נסה שוב כשיש קליטה.,تعذّر التحقق من التحديثات. حاول مجددًا عند توفر إشارة.,,
update_permission,Android asks the user to allow this app to install apps,Android will ask you to allow this app to install updates. That permission is only used for this app's own updates.,אנדרואיד יבקש לאשר לאפליקציה להתקין עדכונים. ההרשאה משמשת אך ורק לעדכוני האפליקציה עצמה.,سيطلب أندرويد السماح لهذا التطبيق بتثبيت التحديثات. تُستخدم هذه الصلاحية لتحديثات التطبيق نفسه فقط.,,
update_notes,,What changed,מה השתנה,ما الذي تغيّر,,
sch_new_block,,New time block,משבצת זמן חדשה,فترة زمنية جديدة,,
sch_start,,Start,התחלה,البداية,,
sch_end,,End,סיום,النهاية,,
sch_task,,Task,משימה,المهمة,,
sch_assignee,,Assigned to,משויך ל,مُسنَد إلى,,
sch_check_in,,Check in,כניסה,تسجيل دخول,,
sch_check_out,,Check out,יציאה,تسجيل خروج,,
sch_empty,,Nothing scheduled,אין משימות מתוכננות,لا شيء مجدول,,
sch_previous_day,,Previous day,יום קודם,اليوم السابق,,
sch_next_day,,Next day,יום הבא,اليوم التالي,,
saf_title,,Safety,בטיחות,السلامة,,
saf_mandatory,,Required before work,חובה לפני תחילת עבודה,إلزامي قبل بدء العمل,,
saf_critical,,Critical,קריטי,حرج,,
saf_pass,,Done,בוצע,تم,,
saf_fail,,Not done,לא בוצע,لم يتم,,
saf_na,,Not applicable,לא רלוונטי,غير منطبق,,
saf_sign_off,,Sign off,חתימה,توقيع,,
saf_signed_by,,Signed by,נחתם על ידי,وقّعه,,
saf_blocked,,A critical item is not done. Work must not start.,פריט קריטי לא בוצע. אין להתחיל בעבודה.,بند حرج لم يُنفَّذ. يُمنع بدء العمل.,,
saf_references,,Standards and regulations,תקנים ותקנות,المواصفات والأنظمة,,
saf_empty,,No checklists for your trades,אין תדריכים לתחומים שנבחרו,لا توجد قوائم فحص لمهنك,,
saf_disclaimer,,Standard references are a pointer for the site file. They do not replace the published text of the standard or regulation.,אזכורי התקנים הם הפניה לתיק האתר. אין בהם תחליף לנוסח המלא של התקן או התקנה.,الإشارات إلى المواصفات مرجع لملف الموقع. وهي لا تُغني عن النص الكامل للمواصفة أو النظام.,,
set_title,,Settings,הגדרות,الإعدادات,,
set_language,,Language,שפה,اللغة,,
set_theme,,Appearance,מראה,المظهر,,
set_theme_system,,Follow the system,לפי הגדרת המכשיר,حسب إعداد الجهاز,,
set_theme_light,,Light,בהיר,فاتح,,
set_theme_dark,,Dark,כהה,داكن,,
set_large_text,,Larger text,טקסט גדול,خط أكبر,,
set_trades,,My trades,תחומי העבודה שלי,مهني,,
set_security,,Security,אבטחה,الأمان,,
set_encrypt,,Encrypt data on this device,הצפנת הנתונים במכשיר,تشفير البيانات على الجهاز,,
set_export,,Export my data,ייצוא הנתונים שלי,تصدير بياناتي,,
set_delete_data,,Delete my account and data,מחיקת החשבון והנתונים שלי,حذف حسابي وبياناتي,,
set_privacy,,Privacy policy,מדיניות פרטיות,سياسة الخصوصية,,
set_terms,,Terms of service,תנאי שימוש,شروط الاستخدام,,
set_about,,About,אודות,حول,,
set_catalog_version,,Catalogue version,גרסת קטלוג,إصدار الكتالوج,,
set_reseed,,Reload catalogues,טעינת הקטלוגים מחדש,إعادة تحميل الكتالوجات,,
set_reseed_note,,Adds catalogue items that are missing. Your own items and quantities are never touched.,מוסיף פריטי קטלוג חסרים. הפריטים והכמויות שלך אינם משתנים.,يضيف أصناف الكتالوج الناقصة. أصنافك وكمياتك لا تتغيّر.,,
perm_camera_title,,Camera,מצלמה,الكاميرا,,
perm_camera_body,,"Used to photograph items and site progress, and to scan barcodes. Photos stay on this device unless you sync.",משמשת לצילום פריטים והתקדמות באתר ולסריקת ברקודים. התמונות נשארות במכשיר אלא אם מסונכרנות.,تُستخدم لتصوير الأصناف وتقدّم العمل ولمسح الباركود. تبقى الصور على الجهاز ما لم تتم المزامنة.,,
perm_location_body,,"Optional. Stamps check-ins, site photos and incident reports with where they happened. The app works fully without it.","אופציונלי. מוסיף חותמת מיקום לכניסות, לתמונות אתר ולדיווחי אירוע. האפליקציה עובדת במלואה גם בלעדיו.",اختياري. يضيف ختم الموقع لتسجيلات الدخول وصور الموقع وتقارير الحوادث. يعمل التطبيق بالكامل بدونه.,,
perm_allow,,Allow,אישור,السماح,,
perm_not_now,,Not now,לא עכשיו,ليس الآن,,
audit_created,,Created,נוצר,أُنشئ,,
audit_updated,,Updated,עודכן,حُدِّث,,
audit_deleted,,Deleted,נמחק,حُذف,,
audit_stock_change,,Stock changed,המלאי השתנה,تغيّر المخزون,,
audit_signed,,Signed,נחתם,وُقِّع,,
acc_welcome,,Set up this device,הגדרת המכשיר,إعداد هذا الجهاز,,
acc_welcome_hint,,Everything stays on this phone and works with no signal. You can add people later.,הכול נשאר בטלפון הזה ועובד גם בלי קליטה. אפשר להוסיף אנשים בהמשך.,كل شيء يبقى على هذا الهاتف ويعمل بدون إشارة. يمكنك إضافة أشخاص لاحقًا.,,
acc_personal,,Just me,רק אני,أنا فقط,,
acc_personal_hint,,"One person, your own tools and jobs.","אדם אחד, הכלים והעבודות שלך.",شخص واحد، أدواتك وأعمالك.,,
acc_company,,A company,חברה,شركة,,
acc_company_hint,,"Several people, each seeing the part of the work that is theirs.","כמה אנשים, כל אחד רואה את החלק שלו בעבודה.",عدة أشخاص، كل منهم يرى الجزء الخاص به من العمل.,,
acc_your_name,,Full name,שם מלא,الاسم الكامل,,
acc_company_name,,Company name,שם החברה,اسم الشركة,,
acc_reg_number,,Company number (optional),ח.פ. / ע.מ. (לא חובה),رقم الشركة (اختياري),,
acc_reg_hint,,Goes on invoices. You can add it later.,מופיע בחשבוניות. אפשר להוסיף מאוחר יותר.,يظهر في الفواتير. يمكن إضافته لاحقًا.,,
acc_passcode,,Passcode,קוד כניסה,رمز الدخول,,
acc_passcode_hint,,At least 4 digits. Leave empty for no passcode.,לפחות 4 ספרות. השאירו ריק כדי לא להשתמש בקוד.,٤ أرقام على الأقل. اتركه فارغًا لعدم استخدام رمز.,,
acc_passcode_short,,At least 4 digits.,לפחות 4 ספרות.,٤ أرقام على الأقل.,,
acc_create,,Create,יצירה,إنشاء,,
acc_sign_in,,Sign in,כניסה,تسجيل الدخول,,
acc_sign_out,,Sign out,יציאה,تسجيل الخروج,,
acc_signed_in_as,,Signed in as,מחובר כ־,مسجّل الدخول باسم,,
people_title,,People,אנשים,الأشخاص,,
people_add,,Add someone,הוספת אדם,إضافة شخص,,
people_role,,What they do,התפקיד,الدور,,
people_remove,,Remove from company,הסרה מהחברה,إزالة من الشركة,,
people_last_admin,,"There has to be one owner left, or nobody can reach the company's data.","חייב להישאר בעלים אחד, אחרת אף אחד לא יוכל להגיע לנתוני החברה.",يجب أن يبقى مالك واحد، وإلا لن يصل أحد إلى بيانات الشركة.,,
people_empty,,Only you so far. Add the people who work with you.,בינתיים רק אתם. הוסיפו את מי שעובד אתכם.,أنت فقط حتى الآن. أضف من يعمل معك.,,
role_owner,,Owner,בעלים,مالك,,
role_owner_hint,,"Everything, including who else is here.","הכול, כולל מי עוד נמצא כאן.",كل شيء، بما في ذلك من يوجد هنا.,,
role_manager,,Manager,מנהל עבודה,مدير,,
role_manager_hint,,"Runs the jobs. Sees costs, does not change them.","מנהל את העבודות. רואה עלויות, לא משנה אותן.",يدير الأعمال. يرى التكاليف ولا يغيّرها.,,
role_finance,,Finance,כספים,المالية,,
role_finance_hint,,The money work. Does not see the schedule.,עבודת הכספים. לא רואה את לוח הזמנים.,العمل المالي. لا يرى الجدول الزمني.,,
role_hr,,Human resources,משאבי אנוש,الموارد البشرية,,
role_hr_hint,,People and their certifications.,אנשים וההסמכות שלהם.,الأشخاص وشهاداتهم.,,
role_worker,,On the tools,עובד בשטח,عامل في الموقع,,
role_worker_hint,,Does the work and records it.,מבצע את העבודה ומתעד אותה.,ينفّذ العمل ويوثّقه.,,
lens_locked,,Not part of your work,לא חלק מהעבודה שלך,ليس جزءًا من عملك,,
money_title,,Money,כספים,المالية,,
money_empty,,No contract value set yet.,עדיין לא הוגדר שווי חוזה.,لم يتم تحديد قيمة العقد بعد.,,
money_contract,,Contract,חוזה,العقد,,
money_revised,,Revised contract,חוזה מעודכן,العقد المعدّل,,
money_cost,,Cost to date,עלות עד היום,التكلفة حتى اليوم,,
money_committed,,Committed,מחויב,ملتزَم,,
money_committed_hint,,"Priced materials on the job sheet, not yet bought.",חומרים מתומחרים בגיליון העבודה שטרם נרכשו.,مواد مسعّرة في ورقة العمل ولم تُشترَ بعد.,,
money_margin,,Margin,רווח,الهامش,,
money_forecast,,Forecast margin,רווח צפוי,الهامش المتوقع,,
money_invoiced,,Invoiced,חויב,تمت الفوترة,,
money_uninvoiced,,Not yet invoiced,טרם חויב,لم تتم فوترته بعد,,
money_outstanding,,Owed to you,חייבים לך,مستحق لك,,
money_over,,Over budget,חריגה מהתקציב,تجاوز الميزانية,,
money_over_soon,,Heading over budget,בדרך לחריגה,في طريقه لتجاوز الميزانية,,
money_ex_vat,,before VAT,"לפני מע""מ",قبل الضريبة,,
money_inc_vat,,with VAT,"כולל מע""מ",شامل الضريبة,,
money_vat_rate,,VAT rate,"שיעור מע""מ",نسبة الضريبة,,
money_set_budget,,Set contract value,הגדרת שווי חוזה,تحديد قيمة العقد,,
money_amount,,Amount,סכום,المبلغ,,
money_costs,,Costs,עלויות,التكاليف,,
money_add_cost,,Add a cost,הוספת עלות,إضافة تكلفة,,
money_costs_empty,,Nothing spent on this job yet.,עדיין לא הוצא כסף על העבודה הזו.,لم يُنفق شيء على هذا العمل بعد.,,
money_description,,What it was for,עבור מה,لماذا كان,,
money_supplier_ref,,Supplier invoice no. (optional),מס' חשבונית ספק (לא חובה),رقم فاتورة المورّد (اختياري),,
money_variations,,Variations,שינויים,التغييرات,,
money_add_variation,,Raise a variation,פתיחת שינוי,فتح تغيير,,
money_variations_empty,,No extra work raised.,לא נפתחו עבודות נוספות.,لم تُفتح أعمال إضافية.,,
money_variation_hint,,"Extra work, or work taken away. A negative amount is an omission.",עבודה נוספת או עבודה שהוסרה. סכום שלילי הוא הפחתה.,عمل إضافي أو عمل تم حذفه. المبلغ السالب يعني حذفًا.,,
money_approve,,Approve,אישור,موافقة,,
money_reject,,Reject,דחייה,رفض,,
money_proposed,,Awaiting decision,ממתין להחלטה,بانتظار القرار,,
money_approved,,Approved,אושר,مُعتمد,,
money_rejected,,Rejected,נדחה,مرفوض,,
money_invoices,,Invoices,חשבוניות,الفواتير,,
money_add_invoice,,Raise an invoice,הפקת חשבונית,إصدار فاتورة,,
money_invoices_empty,,Nothing invoiced yet.,טרם הופקו חשבוניות.,لم تُصدر فواتير بعد.,,
money_invoice_no,,Invoice number,מספר חשבונית,رقم الفاتورة,,
money_mark_paid,,Mark as paid,סימון כשולם,تعليم كمدفوع,,
money_paid,,Paid,שולם,مدفوع,,
money_sent,,Sent,נשלח,مُرسل,,
cost_material,,Materials,חומרים,مواد,,
cost_labour,,Labour,עבודה,عمالة,,
cost_plant,,Plant hire,השכרת ציוד,تأجير معدات,,
cost_subcontractor,,Subcontractor,קבלן משנה,مقاول من الباطن,,
cost_other,,Other,אחר,أخرى,,
cert_title,,Tickets,הסמכות,الشهادات,,
cert_add,,Add a ticket,הוספת הסמכה,إضافة شهادة,,
cert_name,,What it is for,עבור מה,لماذا هي,,
cert_reference,,Certificate number (optional),מספר תעודה (לא חובה),رقم الشهادة (اختياري),,
cert_expires,,Expires,בתוקף עד,صالحة حتى,,
cert_expires_hint,,DD/MM/YYYY. Leave empty if it does not expire.,DD/MM/YYYY. השאירו ריק אם אין תפוגה.,يوم/شهر/سنة. اتركه فارغًا إن كانت لا تنتهي.,,
cert_no_expiry,,No expiry,ללא תפוגה,بدون انتهاء,,
cert_expired,,Expired,פג תוקף,منتهية,,
cert_empty,,No tickets recorded.,לא נרשמו הסמכות.,لم تُسجَّل شهادات.,,
cert_attention,,Tickets needing attention,הסמכות שדורשות טיפול,شهادات تحتاج انتباهًا,,
cert_date_bad,,Use DD/MM/YYYY.,יש להזין DD/MM/YYYY.,استخدم يوم/شهر/سنة.,,
home_overdue,,Overdue,באיחור,متأخر,,
home_book,,Across all jobs,בכל העבודות,في كل الأعمال,,
home_owed,,Owed to you,חייבים לך,مستحق لك,,
home_tickets,,Tickets,הסמכות,الشهادات,,
home_margin,,Margin,רווח,الهامش,,
plant_title,,Plant,ציוד,المعدات,,
plant_add,,Add plant,הוספת ציוד,إضافة معدات,,
plant_empty,,No plant on the books. Add what you own or hire.,אין ציוד רשום. הוסיפו מה שבבעלותכם או בהשכרה.,لا توجد معدات مسجّلة. أضف ما تملكه أو تستأجره.,,
plant_name,,What it is,מה זה,ما هو,,
plant_serial,,Serial number (optional),מספר סידורי (לא חובה),الرقم التسلسلي (اختياري),,
plant_owned,,Owned,בבעלות,مملوكة,,
plant_hired,,Hired,בהשכרה,مستأجرة,,
plant_rate,,Hire per day,עלות ליום,التكلفة يوميًا,,
plant_service,,Next service,טיפול הבא,الصيانة القادمة,,
plant_serviced,,Mark as serviced,סימון כטופל,تعليم كمُصان,,
plant_service_due,,Service due,נדרש טיפול,الصيانة مستحقة,,
plant_overdue,,Service overdue,טיפול באיחור,الصيانة متأخرة,,
plant_available,,In the yard,במחסן,في المستودع,,
plant_on_site,,On site,באתר,في الموقع,,
plant_maintenance,,In for repair,בתיקון,في الإصلاح,,
plant_off_hire,,Off hire,הוחזר,أُعيدت,,
plant_assign,,Send to a job,שליחה לעבודה,إرسال إلى عمل,,
plant_unassign,,Back to the yard,חזרה למחסן,العودة إلى المستودع,,
plant_accrued,,Hire so far,עלות השכרה עד כה,تكلفة الاستئجار حتى الآن,,
po_title,,Orders,הזמנות,الطلبيات,,
po_new,,New order,הזמנה חדשה,طلبية جديدة,,
po_empty,,No orders yet. Raise one when you order materials.,אין הזמנות. פתחו הזמנה כשמזמינים חומרים.,لا توجد طلبيات. افتح واحدة عند طلب المواد.,,
po_supplier,,Supplier,ספק,المورّد,,
po_for_job,,For which job,עבור איזו עבודה,لأي عمل,,
po_yard,,The yard,המחסן,المستودع,,
po_lines,,What you are ordering,מה מזמינים,ما الذي تطلبه,,
po_lines_empty,,Nothing on this order yet.,עדיין אין פריטים בהזמנה.,لا توجد أصناف في الطلبية بعد.,,
po_add_line,,Add a line,הוספת שורה,إضافة سطر,,
po_unit_price,,Price each,מחיר ליחידה,سعر الوحدة,,
po_place,,Place the order,שליחת הזמנה,إرسال الطلبية,,
po_receive,,Book in a delivery,רישום משלוח,تسجيل توريد,,
po_received_of,,received of,התקבלו מתוך,وصلت من أصل,,
po_total,,Order total,סך ההזמנה,إجمالي الطلبية,,
po_outstanding,,Still to come,טרם הגיע,لم يصل بعد,,
po_status_draft,,Draft,טיוטה,مسودة,,
po_status_ordered,,Ordered,הוזמן,تم الطلب,,
po_status_part,,Part delivered,התקבל חלקית,وصلت جزئيًا,,
po_status_received,,Delivered,התקבל,وصلت,,
po_status_cancelled,,Cancelled,בוטל,أُلغيت,,
po_cancel,,Cancel the order,ביטול הזמנה,إلغاء الطلبية,,
po_draft_note,,A draft costs nothing. Place it and it counts against the job.,טיוטה לא נספרת. שלחו אותה והיא תיזקף לעבודה.,المسودة لا تُحتسب. أرسلها لتُحتسب على العمل.,,
update_none,,No version has been published yet.,עדיין לא פורסמה גרסה.,لم تُنشر أي نسخة بعد.,,
tbt_title,,Toolbox talks,שיחות בטיחות,محادثات السلامة,,
tbt_new,,Record a talk,רישום שיחה,تسجيل محادثة,,
tbt_empty,,No talks recorded. A briefing nobody wrote down did not happen.,לא נרשמו שיחות. תדריך שלא נרשם — לא התקיים.,لا توجد محادثات مسجّلة. تعليمات لم تُسجَّل لم تحدث.,,
tbt_topic,,Topic,נושא,الموضوع,,
tbt_presenter,,Given by,העביר,قدّمها,,
tbt_notes,,What was covered,מה נאמר,ما تم تناوله,,
tbt_register,,Who was there,מי נכח,من حضر,,
tbt_register_empty,,Nobody has signed in. A talk with an empty register records nothing.,אף אחד לא נרשם. שיחה בלי רשימת נוכחות לא מתעדת דבר.,لم يسجّل أحد حضوره. محادثة بلا كشف حضور لا توثّق شيئًا.,,
tbt_sign_in,,Sign somebody in,הוספת נוכח,إضافة حاضر,,
tbt_name,,Name,שם,الاسم,,
tbt_crew,,From the crew,מהצוות,من الطاقم,,
tbt_visitor,,Somebody else,אדם אחר,شخص آخر,,
tbt_overdue_title,,Who needs briefing,מי זקוק לתדריך,من يحتاج إلى تعليمات,,
tbt_never,,Never briefed,מעולם לא תודרך,لم يُبلَّغ قط,,
tbt_all_briefed,,Everybody has been briefed this quarter.,כל הצוות תודרך ברבעון הזה.,الجميع تلقّى تعليمات هذا الربع.,,
ptw_title,,Permits to work,היתרי עבודה,تصاريح العمل,,
ptw_new,,Raise a permit,פתיחת היתר,إصدار تصريح,,
ptw_empty,,"No permits. Raise one before hot work, height, a confined space, digging or an isolation.","אין היתרים. פתחו היתר לפני עבודה חמה, עבודה בגובה, חלל מוקף, חפירה או ניתוק חשמלי.",لا توجد تصاريح. أصدر تصريحًا قبل الأعمال الساخنة أو العمل على ارتفاع أو حيز مغلق أو الحفر أو العزل.,,
ptw_type,,What kind of work,סוג העבודה,نوع العمل,,
ptw_description,,The job,העבודה,العمل,,
ptw_location,,Where on site,היכן באתר,أين في الموقع,,
ptw_issued_to,,Who is doing the work,מבצע העבודה,منفّذ العمل,,
ptw_issued_by,,Issued by,מנפיק ההיתר,مُصدِر التصريح,,
ptw_precautions,,Before work starts,לפני תחילת העבודה,قبل بدء العمل,,
ptw_issue,,Issue the permit,הנפקת ההיתר,إصدار التصريح,,
ptw_issue_blocked,,Every precaution has to be ticked before this permit can be issued.,יש לסמן את כל אמצעי הזהירות לפני הנפקת ההיתר.,يجب وضع علامة على كل إجراءات الوقاية قبل إصدار التصريح.,,
ptw_valid_from,,Valid from,בתוקף מ,ساري من,,
ptw_valid_to,,Valid until,בתוקף עד,ساري حتى,,
ptw_close,,Sign the permit back,החזרת ההיתר,إعادة تسليم التصريح,,
ptw_close_notes,,Area left safe — anything to note,השטח הושאר בטוח — הערות,المنطقة تُركت آمنة — ملاحظات,,
ptw_cancel,,Withdraw the permit,ביטול ההיתר,سحب التصريح,,
