type,id,english,hebrew_draft,arabic_draft,street_arabic,hebrew_yours,arabic_yours,street_yours
scope,formwork-rebar,Formwork & Rebar Framework,תבניות וברזל זיון,أعمال النجارة والحدادة المسلحة,شد خشب وتمليح حديد,,,
scope,concrete-pour,Concrete Pouring & Casting,יציקת בטון,صب الخرسانة (القواعد، الأعمدة، الأسقف),صبة الخرسانة / الريديمكس,,,
scope,precast,Precast Concrete Installation,הרכבת אלמנטים טרומיים,تركيب الخرسانة مسبقة الصنع,تركيب بريكاست,,,
scope,steelwork,Structural Steelwork,קונסטרוקציית פלדה,أعمال الهياكل الحديدية والمعدنية,تركيب حديد هانجر / ستيل,,,
scope,masonry,Masonry & Blockwork,בנייה בבלוקים,أعمال المباني والطوب,شغل الطوب / البلوك,,,
scope,slab-conduit,Slab Conduit Piping,צנרת חשמל ביציקה,تمديد أنابيب الأسقف (قبل الصب),تأسيس الصبة / ليات السقف,,,
scope,electrical-rough,Electrical Rough-In,חשמל גס,تأسيس الكهرباء (الحوائط),الشغل الأسود / زرع العلب,,,
scope,cable-pulling,Cable Pulling & Wiring,השחלת מוליכים ולוחות,سحب الأسلاك والكابلات الرئيسية,سحب السلك واللوحات,,,
scope,electrical-trim,Electrical Trim-Out & Fixtures,גמר חשמל וגופי תאורה,تشطيب الكهرباء والتركيبات,الشغل الأبيض / تركيب الأفياش والإنارة,,,
scope,elv,Low Voltage Systems (ELV),מתח נמוך מאוד,التيار الخفيف (كاميرات، شبكات، إنذار),تأسيس وتشطيب التيار الخفيف,,,
scope,drainage-underground,Underground Drainage Piping,ניקוז תת־קרקעי,تأسيس الصرف الصحي تحت الأرض,تأسيس شبكة المجاري / المزراب,,,
scope,plumbing-rough,Plumbing Rough-In,אינסטלציה גסה,تأسيس السباكة والتغذية الحائطية,تأسيس الحمامات والمطابخ (الشغل الأسود),,,
scope,tanks-pumps,Water Tanks & Pump Setup,מיכלים ומשאבות,تركيب الخزانات والمضخات الرئيسية,تركيب دينامو ومصفيات الموية وخزانات,,,
scope,sanitaryware,Sanitaryware & Fixtures Installation,כלים סניטריים,تركيب الأدوات الصحية والتشطيب,تشطيب السباكة / تركيب الخلاطات والمراحيض,,,
scope,copper-sleeves,Copper Pipe & Sleeve Laying,צנרת נחושת ושרוולים,زرع السليفات وتمديد مواسير النحاس,تأسيس مواسير النحاس والجراب,,,
scope,ductwork,Ductwork Fabrication & Hanging,תעלות מיזוג,تفصيل وتركيب مجاري الهواء (الدكتات),تركيب الدكت / صاج التكييف,,,
scope,ac-units,AC Unit Mounting,התקנת יחידות מיזוג,تركيب الماكينات الداخلية والخارجية,تعليق الفانات والكمبروسرات,,,
scope,grilles,Grilles & Diffusers Installation,מפזרים וגרילים,تركيب فتحات الهواء ومخارج التكييف,تركيب الجريلات وفلتر الهواء,,,
scope,roof-waterproofing,Roof Waterproofing & Insulation,איטום ובידוד גגות,العزل المائي والحراري للأسطح,عزل السطح / تركيب الرولات,,,
scope,wet-waterproofing,Wet Area Waterproofing,איטום חדרים רטובים,عزل دورات المياه والمطابخ والمسابح,عزل الحمامات والمطابخ والبيتومين السائل,,,
scope,plastering,Internal & External Plastering,טיח פנים וחוץ,أعمال اللياسة الداخلية والخارجية,المحارة / اللياسة / تلييس جدران,,,
scope,tiling,Wall & Floor Tiling,ריצוף וחיפוי,أعمال تركيب البلاط والسيراميك والرخام,تركيب سيراميك وبورسلان وبلاط أرضيات,,,
scope,drywall,False Ceilings & Drywall,תקרות אקוסטיות וגבס,الأسقف المستعارة والجبس بورد,تركيب ديكورات جبس / جبسمبورد معلق,,,
scope,painting,Painting & Surface Decoration,צבע וגמר,أعمال الدهانات والتشطيب الديكوري,شغل البوية / معجون ودهان الحوائط,,,
scope,cladding,Facade Cladding (Glass/Stone),חיפוי חזיתות,تشطيب واجهات المباني (حجر، زجاج، كيرتن وول),تركيب كيرتن وول / تكسية واجهات حجر طبيعي,,,
scope,aluminium,Aluminum & Glazing (Windows),אלומיניום וזיגוג,أعمال الألومنيوم والزجاج والشبابيك,تركيب شبابيك ألومنيوم وقطاعات زجاج دبل,,,
scope,joinery,Wooden Joinery & Doors,נגרות ודלתות,أعمال النجارة وتركيب الأبواب الخشبية,تركيب أبواب خشب وحواجب وإطارات,,,
scope,balustrades,Metal Balustrades & Railings,מעקות ומסגרות,أعمال الحديد المشغول والدرابزينات,تركيب درابزين حديد أو ستانلس للدرج وبلكونات,,,
scope,firefighting,Firefighting Pipelines & Sprinklers,כיבוי אש וספרינקלרים,تمديد شبكات الحريق والرشاشات التلقائية,تأسيس مواسير حريق وشبكة الرش الآلي,,,
scope,elevators,Elevators & Escalators Installation,מעליות ודרגנועים,تركيب المصاعد والسلالم الكهربائية,تركيب أسانسير وماكينات المصاعد وجدران الكابينة,,,
scope,external-infra,External Infrastructure Integration,תשתיות חוץ,أعمال شبكات البنية التحتية (خارج المبنى),تمديد خطوط الصرف الخارجي وكابلات الضغط العالي للموقع,,,
scope,landscape,Landscape & External Paving,פיתוח ונוף,تنسيق الحدائق والأرصفة والمشايات,تركيب انترلوك / لاندسكيب وأعمال البلدورات زراعة,,,
trade,electrical,Electrical,חשמל,كهرباء,,,,
trade,plumbing,Plumbing,אינסטלציה,سباكة,,,,
trade,hvac,HVAC & Refrigeration,מיזוג אוויר וקירור,تكييف وتبريد,,,,
trade,painting,Painting,צביעה,دهان,,,,
trade,carpentry,Carpentry,נגרות,نجارة,,,,
trade,earthworks,Earthworks & demolition,עבודות עפר והריסה,أعمال الحفر والهدم,,,,
trade,rebar,Rebar & formwork,ברזל ותבניות,حدادة وطوبار,,,,
trade,concrete,Concrete works,עבודות בטון,أعمال الباطون,,,,
trade,steelwork,Structural steel,קונסטרוקציית פלדה,هياكل حديدية,,,,
trade,masonry,Masonry & blockwork,בנייה בבלוקים,بناء وطوب,,,,
trade,elv,Low voltage & ELV,מתח נמוך מאוד,التيار الخفيف,,,,
trade,waterproofing,Waterproofing & insulation,איטום ובידוד,عزل مائي وحراري,,,,
trade,plastering,Plastering & screed,טיח ומדות,لياسة ومونة,,,,
trade,tiling,Tiling & marble,ריצוף וחיפוי,بلاط ورخام,,,,
trade,drywall,Drywall & gypsum,גבס ותקרות,جبصين وأسقف,,,,
trade,stonework,Stonework & cladding,אבן וחיפוי חזיתות,نحاتة وتحجير,,,,
trade,aluminium,Aluminium & glazing,אלומיניום וזיגוג,ألمنيوم وزجاج,,,,
trade,metalwork,Metalwork & balustrades,מסגרות ומעקות,حدادة ودرابزين,,,,
trade,firefighting,Firefighting systems,מערכות כיבוי אש,أنظمة إطفاء الحريق,,,,
trade,elevators,Elevators & escalators,מעליות ודרגנועים,مصاعد ودرجات متحركة,,,,
trade,landscape,Landscape & paving,פיתוח וריצוף חוץ,تنسيق وتبليط خارجي,,,,
trade,general,General construction,בנייה כללית,بناء عام,,,,
