trade,kind,id,context,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours
Electrical,template task,tpl.el.aw.1,step 1,Mark out points with the client,סימון נקודות מול הלקוח,تعليم النقاط مع الزبون,,
Electrical,template task,tpl.el.aw.2,step 2,Chase walls and cut boxes,חריצת קירות וקדיחת קופסאות,تخديد الجدران وقص العلب,,
Electrical,template task,tpl.el.aw.3,step 3,Lay conduit and set boxes,הנחת צנרת והתקנת קופסאות,تمديد الأنابيب وتركيب العلب,,
Electrical,template task,tpl.el.aw.4,step 4,Pull cables and label both ends,משיכת כבלים וסימון שני הקצוות,سحب الكابلات وتعليم الطرفين,,
Electrical,template task,tpl.el.aw.5,step 5,Photograph runs before plastering,צילום המסלולים לפני טיח,تصوير المسارات قبل القصارة,,
Electrical,template name,tpl.el.board_replace,,Distribution board replacement,החלפת לוח חשמל,استبدال لوحة التوزيع,,
Electrical,template description,tpl.el.board_replace,,Swap an old board for a DIN board with RCD protection and testing.,החלפת לוח ישן בלוח DIN עם מפסק פחת ובדיקות.,استبدال لوحة قديمة بلوحة DIN مع قاطع تسرّب وفحوص.,,
Electrical,template task,tpl.el.br.1,step 1,Agree the outage window with the occupants,תיאום חלון הפסקת חשמל עם הדיירים,الاتفاق على وقت انقطاع الكهرباء مع السكان,,
Electrical,template task,tpl.el.br.2,step 2,"Isolate, lock off and prove dead","ניתוק, נעילה והוכחת היעדר מתח",العزل والإقفال وإثبات انعدام الجهد,,
Electrical,template task,tpl.el.br.3,step 3,Transfer circuits and label the legend,העברת מעגלים וכתיבת מקרא,نقل الدوائر وكتابة الدليل,,
Electrical,template task,tpl.el.br.4,step 4,"Test, energise and hand over the certificate","בדיקות, הפעלה ומסירת תעודה",الفحوص والتشغيل وتسليم الشهادة,,
Plumbing,checklist title,sf.pl.confined,must be done before work,Confined space entry,כניסה לחלל מוקף,الدخول إلى مكان مغلق,,
Plumbing,safety check,sf.pl.cf.1,CRITICAL — blocks sign-off,Entry permit issued and signed by the supervisor,היתר כניסה הונפק ונחתם בידי הממונה,تصريح الدخول صادر وموقّع من المشرف,,
Plumbing,safety check,sf.pl.cf.2,CRITICAL — blocks sign-off,"Atmosphere tested for oxygen, CO, H2S and flammables","האטמוספרה נבדקה לחמצן, CO, ‏H2S וגזים דליקים",تم فحص الجو للأكسجين وأول أكسيد الكربون وكبريتيد الهيدروجين والغازات القابلة للاشتعال,,
Plumbing,safety check,sf.pl.cf.3,CRITICAL — blocks sign-off,Forced ventilation running before and during entry,אוורור מאולץ פועל לפני הכניסה ובמהלכה,التهوية القسرية تعمل قبل الدخول وأثناءه,,
Plumbing,safety check,sf.pl.cf.4,CRITICAL — blocks sign-off,Attendant posted outside with rescue equipment and a means to call help,משגיח ניצב בחוץ עם ציוד חילוץ ואמצעי לקריאת עזרה,مراقب متواجد بالخارج مع معدات إنقاذ ووسيلة لطلب المساعدة,,
Plumbing,safety check,sf.pl.cf.5,,Harness and retrieval line worn by the entrant,הנכנס חובש רתמה וחבל חילוץ,الداخل يرتدي حزامًا وحبل استرجاع,,
Plumbing,checklist title,sf.pl.hotwork,must be done before work,Hot work — brazing and soldering,עבודה חמה — הלחמה וריתוך,عمل ساخن — لحام,,
Plumbing,safety check,sf.pl.hw.1,CRITICAL — blocks sign-off,Hot work permit issued for the shift,היתר עבודה חמה הונפק למשמרת,تصريح عمل ساخن صادر للمناوبة,,
Plumbing,safety check,sf.pl.hw.2,CRITICAL — blocks sign-off,Combustibles cleared or covered within 10 m,חומרים דליקים פונו או כוסו ברדיוס 10 מ׳,أُزيلت المواد القابلة للاشتعال أو غُطّيت ضمن 10 م,,
Plumbing,safety check,sf.pl.hw.3,CRITICAL — blocks sign-off,Fire extinguisher within reach and known to work,מטף כיבוי בהישג יד ותקין,طفاية الحريق في متناول اليد وصالحة,,
Plumbing,safety check,sf.pl.hw.4,CRITICAL — blocks sign-off,Fire watch kept for 30 minutes after the last flame,שמירת אש 30 דקות אחרי כיבוי הלהבה האחרונה,مراقبة الحريق 30 دقيقة بعد إطفاء آخر لهب,,
Plumbing,safety check,sf.pl.hw.5,,Gas cylinder secured upright and hoses checked,בלון הגז מאובטח זקוף והצינורות נבדקו,أسطوانة الغاز مثبّتة عموديًا والخراطيم مفحوصة,,
Plumbing,checklist title,sf.pl.handover,,Pressure test and handover,בדיקת אטימות ומסירה,اختبار الضغط والتسليم,,
Plumbing,safety check,sf.pl.ho.1,CRITICAL — blocks sign-off,Pressure test held for the required period and recorded,בדיקת הלחץ הוחזקה למשך הזמן הנדרש ותועדה,تم إبقاء اختبار الضغط للمدة المطلوبة وتوثيقه,,
Plumbing,safety check,sf.pl.ho.2,CRITICAL — blocks sign-off,Drainage falls checked and a flow test run,שיפועי הניקוז נבדקו ובוצעה בדיקת זרימה,تم فحص ميول الصرف وإجراء اختبار تدفق,,
Plumbing,safety check,sf.pl.ho.3,,Concealed pipe runs photographed before closing walls,צנרת סמויה צולמה לפני סגירת הקירות,تم تصوير الأنابيب المخفية قبل إغلاق الجدران,,
Plumbing,safety check,sf.pl.ho.4,,Isolating valves labelled and shown to the client,ברזי הניתוק סומנו והוצגו ללקוח,محابس العزل مُعلَّمة وعُرضت على الزبون,,
Plumbing,template name,tpl.pl.bathroom,,Bathroom plumbing rough-in,אינסטלציה לחדר רחצה — שלב ראשון,سباكة حمّام — المرحلة الأولى,,
Plumbing,template description,tpl.pl.bathroom,,"Water and waste rough-in for one bathroom, tested before tiling.","צנרת מים ודלוחין לחדר רחצה אחד, נבדקת לפני ריצוף.",تمديد المياه والصرف لحمّام واحد، يُفحص قبل التبليط.,,
Plumbing,template task,tpl.pl.bt.1,step 1,Set out fixture positions,סימון מיקומי כלים סניטריים,تعليم مواقع الأدوات الصحية,,
Plumbing,template task,tpl.pl.bt.2,step 2,Run waste with correct falls,הנחת דלוחין בשיפועים נכונים,تمديد الصرف بميول صحيحة,,
Plumbing,template task,tpl.pl.bt.3,step 3,Run water lines to the manifold,הנחת קווי מים למחלק,تمديد خطوط المياه إلى الموزّع,,
Plumbing,template task,tpl.pl.bt.4,step 4,Pressure test and photograph before closing,בדיקת אטימות וצילום לפני סגירה,اختبار الضغط والتصوير قبل الإغلاق,,
Plumbing,template name,tpl.pl.heater,,Water heater replacement,החלפת דוד חשמל,استبدال سخان المياه,,
Plumbing,template description,tpl.pl.heater,,Remove and replace a domestic cylinder with new safety valve.,פירוק והתקנת דוד ביתי עם שסתום ביטחון חדש.,فك وتركيب سخان منزلي مع صمام أمان جديد.,,
Plumbing,template task,tpl.pl.hr.1,step 1,"Isolate water and electricity, drain the cylinder","ניתוק מים וחשמל, ריקון הדוד",فصل الماء والكهرباء وتفريغ السخان,,
Plumbing,template task,tpl.pl.hr.2,step 2,Remove old unit and check the bracket,פירוק הדוד הישן ובדיקת המתלה,فك السخان القديم وفحص الحامل,,
Plumbing,template task,tpl.pl.hr.3,step 3,"Fit new cylinder, safety valve and connections","התקנת דוד חדש, שסתום ביטחון וחיבורים",تركيب السخان الجديد وصمام الأمان والتوصيلات,,
Plumbing,template task,tpl.pl.hr.4,step 4,"Fill, vent, check for leaks and restore power","מילוי, שחרור אוויר, בדיקת נזילות והחזרת חשמל",التعبئة وتنفيس الهواء وفحص التسريب وإعادة الكهرباء,,
HVAC & Refrigeration,checklist title,sf.hv.refrigerant,must be done before work,Refrigerant handling,טיפול בגז קירור,التعامل مع غاز التبريد,,
HVAC & Refrigeration,safety check,sf.hv.rf.1,CRITICAL — blocks sign-off,Refrigerant type confirmed against the unit nameplate,סוג הגז אומת מול לוחית היצרן של היחידה,تم التأكد من نوع الغاز مقابل لوحة بيانات الوحدة,,
HVAC & Refrigeration,safety check,sf.hv.rf.2,CRITICAL — blocks sign-off,Refrigerant recovered to a rated cylinder — never vented,הגז נשאב למכל מאושר — לא שוחרר לאוויר,تم استرجاع الغاز إلى أسطوانة معتمدة — ولم يُطلق في الهواء,,
HVAC & Refrigeration,safety check,sf.hv.rf.3,CRITICAL — blocks sign-off,Goggles and cold-resistant gloves worn while the circuit is open,משקפי מגן וכפפות עמידות לקור בזמן שהמעגל פתוח,نظارات واقية وقفازات مقاومة للبرودة أثناء فتح الدائرة,,
HVAC & Refrigeration,safety check,sf.hv.rf.4,CRITICAL — blocks sign-off,Space ventilated; A2L refrigerants kept away from ignition sources,החלל מאוורר; גזי A2L מורחקים ממקורות הצתה,المكان مهوّى؛ غازات A2L بعيدة عن مصادر الاشتعال,,
HVAC & Refrigeration,safety check,sf.hv.rf.5,,Charge weighed and the figure written on the service record,כמות הגז נשקלה והערך נרשם בכרטיס השירות,تم وزن كمية الغاز وتسجيل القيمة في بطاقة الخدمة,,
HVAC & Refrigeration,checklist title,sf.hv.electrical,must be done before work,Electrical safety on the unit,בטיחות חשמל ביחידה,السلامة الكهربائية للوحدة,,
HVAC & Refrigeration,safety check,sf.hv.el.1,CRITICAL — blocks sign-off,Unit isolated at its own breaker and locked off,היחידה נותקה במא״ז הייעודי וננעלה,تم عزل الوحدة عند قاطعها الخاص وإقفالها,,
HVAC & Refrigeration,safety check,sf.hv.el.2,CRITICAL — blocks sign-off,Capacitors discharged before touching the board,הקבלים פורקו לפני נגיעה בכרטיס,تم تفريغ المكثّفات قبل لمس اللوحة,,
HVAC & Refrigeration,safety check,sf.hv.el.3,,Outdoor unit earthing continuity checked,רציפות ההארקה של היחידה החיצונית נבדקה,تم فحص استمرارية تأريض الوحدة الخارجية,,
HVAC & Refrigeration,checklist title,sf.hv.height,must be done before work,Ladder and roof access,עבודה בסולם ובגישה לגג,العمل بالسلّم والوصول إلى السطح,,
HVAC & Refrigeration,safety check,sf.hv.ht.1,CRITICAL — blocks sign-off,Work above 2 m done only by a certified worker,עבודה מעל 2 מ׳ מבוצעת רק בידי עובד מוסמך,العمل فوق 2 م يُنفَّذ فقط بواسطة عامل مؤهّل,,
HVAC & Refrigeration,safety check,sf.hv.ht.2,CRITICAL — blocks sign-off,"Ladder footed on firm ground, tied, at a 1:4 angle","הסולם ניצב על משטח יציב, קשור, בזווית 1:4",السلّم على أرض ثابتة، مربوط، بزاوية 1:4,,
HVAC & Refrigeration,safety check,sf.hv.ht.3,CRITICAL — blocks sign-off,Roof edge protection or harness with a verified anchor,הגנת קצה בגג או רתמה עם נקודת עיגון מאומתת,حماية حافة السطح أو حزام مع نقطة تثبيت متحقّق منها,,
HVAC & Refrigeration,safety check,sf.hv.ht.4,,"Tools raised and lowered by line, never carried on a ladder","כלים מועלים ומורדים בחבל, לא נישאים בסולם",تُرفع الأدوات وتُنزل بالحبل، لا تُحمل على السلّم,,
HVAC & Refrigeration,template name,tpl.hv.split_install,,Split unit installation,התקנת מזגן עילי,تركيب مكيّف سبليت,,
HVAC & Refrigeration,template description,tpl.hv.split_install,,"Indoor and outdoor unit, lines, drain and commissioning.","יחידה פנימית וחיצונית, צנרת, ניקוז והפעלה.",وحدة داخلية وخارجية وأنابيب وتصريف وتشغيل.,,
HVAC & Refrigeration,template task,tpl.hv.si.1,step 1,Agree unit positions and core drilling,תיאום מיקום היחידות וקידוח מעבר,الاتفاق على مواقع الوحدات وثقب العبور,,
HVAC & Refrigeration,template task,tpl.hv.si.2,step 2,Mount brackets and run lines,התקנת מתלים והנחת צנרת,تركيب الحوامل وتمديد الأنابيب,,
HVAC & Refrigeration,template task,tpl.hv.si.3,step 3,"Flare, connect and leak test","פלייר, חיבור ובדיקת דליפות",التفليج والتوصيل وفحص التسرّب,,
HVAC & Refrigeration,template task,tpl.hv.si.4,step 4,Evacuate to 500 microns and charge by weight,ואקום עד 500 מיקרון ומילוי לפי משקל,التفريغ حتى 500 ميكرون والشحن بالوزن,,
HVAC & Refrigeration,template task,tpl.hv.si.5,step 5,"Run test, record currents, show the client the filter","הרצת בדיקה, רישום זרמים, הדגמת המסנן ללקוח",تشغيل تجريبي وتسجيل التيارات وعرض الفلتر على الزبون,,
HVAC & Refrigeration,template name,tpl.hv.service,,Seasonal service visit,טיפול תקופתי,زيارة صيانة موسمية,,
HVAC & Refrigeration,template description,tpl.hv.service,,"Filter, coil, drain and electrical check on an installed system.","מסנן, סוללה, ניקוז ובדיקת חשמל במערכת קיימת.",الفلتر والملف والتصريف وفحص كهربائي لنظام قائم.,,
HVAC & Refrigeration,template task,tpl.hv.sv.1,step 1,Clean or replace filters,ניקוי או החלפת מסננים,تنظيف أو استبدال الفلاتر,,
HVAC & Refrigeration,template task,tpl.hv.sv.2,step 2,Wash coils and clear the condensate line,שטיפת סוללות ופתיחת קו הניקוז,غسل الملفات وتسليك خط التصريف,,
HVAC & Refrigeration,template task,tpl.hv.sv.3,step 3,Measure running current and delta-T,מדידת זרם עבודה והפרש טמפרטורות,قياس تيار التشغيل وفرق الحرارة,,
HVAC & Refrigeration,template task,tpl.hv.sv.4,step 4,Record readings on the service card,רישום המדידות בכרטיס השירות,تسجيل القياسات في بطاقة الخدمة,,
Painting,checklist title,sf.pa.ventilation,must be done before work,Ventilation and respiratory protection,אוורור והגנה נשימתית,التهوية وحماية الجهاز التنفسي,,
Painting,safety check,sf.pa.vn.1,CRITICAL — blocks sign-off,"Cross ventilation opened, or forced extraction running","אוורור צולב נפתח, או שאיבה מאולצת פועלת",تم فتح تهوية متقاطعة أو تشغيل شفط قسري,,
Painting,safety check,sf.pa.vn.2,CRITICAL — blocks sign-off,A2-P3 respirator worn for spraying and for solvent paints,מסכת A2-P3 נלבשת בריסוס ובצבעי ממס,كمّامة A2-P3 مُرتداة عند الرش ودهانات المذيبات,,
Painting,safety check,sf.pa.vn.3,CRITICAL — blocks sign-off,"No ignition source, smoking or hot work while solvents are open","אין מקור הצתה, עישון או עבודה חמה בזמן שממסים פתוחים",لا مصدر اشتعال ولا تدخين ولا عمل ساخن أثناء فتح المذيبات,,
Painting,safety check,sf.pa.vn.4,,Solvents and thinners stored outside the occupied room,ממסים ומדללים מאוחסנים מחוץ לחדר שבו עובדים,تُخزَّن المذيبات والمخفّفات خارج الغرفة المشغولة,,
Painting,safety check,sf.pa.vn.5,,Safety data sheet available for every product on site,גיליון בטיחות זמין לכל מוצר באתר,صحيفة بيانات السلامة متوفرة لكل منتج في الموقع,,
Painting,checklist title,sf.pa.access,must be done before work,Ladders and working platforms,סולמות ומשטחי עבודה,السلالم ومنصّات العمل,,
Painting,safety check,sf.pa.ac.1,CRITICAL — blocks sign-off,Ladder or platform on level ground with feet locked,סולם או משטח על קרקע ישרה עם רגליים נעולות,السلّم أو المنصّة على أرض مستوية مع أقدام مثبّتة,,
Painting,safety check,sf.pa.ac.2,CRITICAL — blocks sign-off,No standing on the top two steps of a step ladder,אין לעמוד על שני השלבים העליונים של סולם א׳,ممنوع الوقوف على آخر درجتين من السلّم,,
Painting,safety check,sf.pa.ac.3,,Extension pole used instead of a ladder wherever the reach allows,מוט הארכה משמש במקום סולם בכל מקום שההישג מאפשר,تُستخدم عصا التمديد بدل السلّم حيثما أمكن الوصول,,
Painting,safety check,sf.pa.ac.4,,"Floor kept clear of tins, sheeting and trailing leads","הרצפה נקייה מפחיות, יריעות וכבלים נגררים",الأرضية خالية من العلب والنايلون والكابلات المتدلّية,,
Painting,checklist title,sf.pa.spray,,Airless spraying,ריסוס אירלס,الرش بدون هواء,,
Painting,safety check,sf.pa.sp.1,CRITICAL — blocks sign-off,Trigger lock engaged whenever the gun is not in use,נעילת ההדק מופעלת בכל רגע שהאקדח אינו בשימוש,قفل الزناد مفعّل كلما لم يكن المسدس قيد الاستخدام,,
Painting,safety check,sf.pa.sp.2,CRITICAL — blocks sign-off,Pressure released before removing the tip or a hose,הלחץ שוחרר לפני הסרת פייה או צינור,تم تحرير الضغط قبل إزالة الرأس أو الخرطوم,,
Painting,safety check,sf.pa.sp.3,CRITICAL — blocks sign-off,Everyone knows an injection injury needs immediate hospital care,כולם יודעים שפציעת הזרקה מחייבת פינוי מיידי לבית חולים,الجميع يعلم أن إصابة الحقن تستوجب نقلًا فوريًا للمستشفى,,
Painting,safety check,sf.pa.sp.4,,"Adjacent surfaces, windows and cars masked against overspray","משטחים סמוכים, חלונות ומכוניות מוסככו מפני נדף",الأسطح المجاورة والنوافذ والسيارات مغطّاة ضد الرذاذ,,
Painting,template name,tpl.pa.room_repaint,,Room repaint,צביעת חדר מחדש,إعادة دهان غرفة,,
Painting,template description,tpl.pa.room_repaint,,"Prepare, fill, prime and two coats on walls and ceiling.","הכנה, שפכטל, יסוד ושתי שכבות לקירות ולתקרה.",تحضير ومعجون وأساس وطبقتان للجدران والسقف.,,
Painting,template task,tpl.pa.rr.1,step 1,"Cover floor and furniture, mask edges","כיסוי רצפה וריהוט, מיסוך קצוות",تغطية الأرضية والأثاث وتغطية الحواف,,
Painting,template task,tpl.pa.rr.2,step 2,Fill cracks and sand back,מילוי סדקים וליטוש,ملء الشقوق والصنفرة,,
Painting,template task,tpl.pa.rr.3,step 3,Prime patched areas,יסוד על אזורים מתוקנים,أساس على المناطق المرمّمة,,
Painting,template task,tpl.pa.rr.4,step 4,"Two finish coats, checked under raking light","שתי שכבות גמר, נבדקות בתאורה משיקה",طبقتا تشطيب، تُفحصان بإضاءة مائلة,,
Painting,template task,tpl.pa.rr.5,step 5,Remove masking and hand the room back clean,הסרת מיסוך ומסירת החדר נקי,إزالة التغطية وتسليم الغرفة نظيفة,,
Painting,template name,tpl.pa.exterior,,Building exterior repaint,צביעת חזית בניין,إعادة دهان واجهة مبنى,,
Painting,template description,tpl.pa.exterior,,"Wash, repair, prime and coat an external elevation from scaffold.","שטיפה, תיקון, יסוד וצבע לחזית מפיגום.",غسل وترميم وأساس ودهان لواجهة من السقالة.,,
Painting,template task,tpl.pa.ex.1,step 1,Scaffold inspected and tagged,פיגום נבדק ותויג,السقالة مفحوصة وموسومة,,
Painting,template task,tpl.pa.ex.2,step 2,Pressure wash and let dry,שטיפה בלחץ וייבוש,غسل بالضغط والتجفيف,,
Painting,template task,tpl.pa.ex.3,step 3,Repair cracks and render,תיקון סדקים וטיח,ترميم الشقوق والقصارة,,
Painting,template task,tpl.pa.ex.4,step 4,Prime and apply two coats,יסוד ושתי שכבות צבע,أساس وطبقتا دهان,,
Carpentry,checklist title,sf.ca.machine,must be done before work,Machine guarding and set-up,מיגון מכונות והתקנה,حماية الآلات والإعداد,,
Carpentry,safety check,sf.ca.mc.1,CRITICAL — blocks sign-off,All guards fitted; riving knife aligned on the saw,כל המגנים מותקנים; סכין מפצל מיושר במסור,جميع الواقيات مركّبة؛ سكين الشق محاذٍ في المنشار,,
Carpentry,safety check,sf.ca.mc.2,CRITICAL — blocks sign-off,Push stick used for every cut narrower than 150 mm,מוט דחיפה בכל חיתוך צר מ־150 מ״מ,تُستخدم عصا الدفع في كل قطع أضيق من 150 ملم,,
Carpentry,safety check,sf.ca.mc.3,CRITICAL — blocks sign-off,Blade unplugged before any change or adjustment,הכלי מנותק מהחשמל לפני החלפת להב או כוונון,الأداة مفصولة عن الكهرباء قبل تغيير الشفرة أو الضبط,,
Carpentry,safety check,sf.ca.mc.4,,"Workpiece clamped, never held by hand near the blade","פריט העבודה מהודק, לא מוחזק ביד ליד הלהב",القطعة مثبّتة، ولا تُمسك باليد قرب الشفرة,,
Carpentry,safety check,sf.ca.mc.5,,"Loose sleeves, gloves and jewellery removed at the machine","שרוולים רפויים, כפפות ותכשיטים הוסרו ליד המכונה",أُزيلت الأكمام الفضفاضة والقفازات والحلي عند الآلة,,
Carpentry,checklist title,sf.ca.dust,must be done before work,Wood dust and noise,אבק עץ ורעש,غبار الخشب والضجيج,,
Carpentry,safety check,sf.ca.ds.1,CRITICAL — blocks sign-off,Dust extraction connected and running at every cutting tool,שאיבת אבק מחוברת ופועלת בכל כלי חיתוך,شفط الغبار موصول ويعمل عند كل أداة قص,,
Carpentry,safety check,sf.ca.ds.2,CRITICAL — blocks sign-off,FFP2 mask worn when cutting MDF or sanding,מסכת FFP2 נלבשת בחיתוך MDF ובליטוש,كمّامة FFP2 مُرتداة عند قص MDF أو الصنفرة,,
Carpentry,safety check,sf.ca.ds.3,CRITICAL — blocks sign-off,"Hearing protection worn near saw, router and planer","מגן שמיעה נלבש ליד מסור, ראוטר ומקצוע",واقي السمع مُرتدى قرب المنشار والراوتر والمسحاج,,
Carpentry,safety check,sf.ca.ds.4,,Offcuts and shavings cleared; no dry sweeping of fine dust,שאריות ונסורת מפונות; אין לטאטא אבק דק ביבש,تُزال القصاصات والنشارة؛ ممنوع كنس الغبار الناعم جافًا,,
Carpentry,checklist title,sf.ca.install,,Installation on site,התקנה באתר,التركيب في الموقع,,
Carpentry,safety check,sf.ca.in.1,CRITICAL — blocks sign-off,Wall scanned for cables and pipes before drilling,הקיר נסרק לאיתור כבלים וצנרת לפני קדיחה,تم مسح الجدار للكابلات والأنابيب قبل الثقب,,
Carpentry,safety check,sf.ca.in.2,CRITICAL — blocks sign-off,Tall units secured to the wall against tipping,יחידות גבוהות עוגנו לקיר נגד התהפכות,الوحدات العالية مثبّتة بالجدار ضد الانقلاب,,
Carpentry,safety check,sf.ca.in.3,,Two-person lift for any panel over 25 kg,הרמה בשניים לכל לוח מעל 25 ק״ג,الرفع بشخصين لأي لوح يزيد عن 25 كغ,,
Carpentry,template name,tpl.ca.kitchen,,Kitchen installation,התקנת מטבח,تركيب مطبخ,,
Carpentry,template description,tpl.ca.kitchen,,"Carcases, doors, worktop and hardware for a fitted kitchen.","גופים, דלתות, משטח ופרזול למטבח.",هياكل وأبواب وسطح عمل وإكسسوارات لمطبخ.,,
Carpentry,template task,tpl.ca.kt.1,step 1,Site survey and final measurements,מדידה סופית באתר,قياس نهائي في الموقع,,
Carpentry,template task,tpl.ca.kt.2,step 2,Cut and edge the carcases,ניסור וקינוט הגופים,قص وتحويف الهياكل,,
Carpentry,template task,tpl.ca.kt.3,step 3,Assemble and level base units,הרכבה ופילוס יחידות תחתונות,تجميع وتسوية الوحدات السفلية,,
Carpentry,template task,tpl.ca.kt.4,step 4,"Hang doors, fit drawers and handles","תליית דלתות, מגירות וידיות",تعليق الأبواب وتركيب الأدراج والمقابض,,
Carpentry,template task,tpl.ca.kt.5,step 5,"Coordinate worktop, sink and appliance cut-outs","תיאום משטח, כיור ופתחי מכשירים",تنسيق السطح والمغسلة وفتحات الأجهزة,,
Carpentry,template name,tpl.ca.wardrobe,,Built-in wardrobe,ארון קיר בהתאמה,خزانة حائط مفصّلة,,
Carpentry,template description,tpl.ca.wardrobe,,Floor-to-ceiling wardrobe with sliding or hinged doors.,ארון מהרצפה לתקרה עם דלתות הזזה או ציריות.,خزانة من الأرض للسقف بأبواب منزلقة أو مفصّلية.,,
Carpentry,template task,tpl.ca.wd.1,step 1,Check walls for plumb and square,בדיקת אנך וניצבות הקירות,فحص شاقولية وتعامد الجدران,,
Carpentry,template task,tpl.ca.wd.2,step 2,Build and scribe the carcase to the wall,בניית הגוף והתאמתו לקיר,بناء الهيكل وتطويعه للجدار,,
Carpentry,template task,tpl.ca.wd.3,step 3,"Fit internals, rails and shelves","התקנת פנים, מוטות ומדפים",تركيب الداخل والقضبان والرفوف,,
Carpentry,template task,tpl.ca.wd.4,step 4,Anchor to the wall and align doors,עיגון לקיר ויישור דלתות,التثبيت بالجدار ومحاذاة الأبواب,,
Earthworks & demolition,checklist title,sf.ew.services,must be done before work,Before breaking ground,לפני תחילת חפירה,قبل بدء الحفر,,
Earthworks & demolition,safety check,sf.ew.services.1,CRITICAL — blocks sign-off,"Utility drawings obtained and on site, not in an office","תוכניות תשתית התקבלו ונמצאות באתר, לא במשרד",مخططات الخدمات مستلمة وموجودة في الموقع، لا في المكتب,,
